,worker_id,package_id,filling_id,weight,operation,label
0,1,723,-1,0.8584777826750363,PUT,False
1,0,318,-1,0.8581917832345353,PUT,False
2,0,973,-1,0.11222129761864207,PUT,False
3,1,62,-1,0.1115755601493049,PUT,False
4,1,416,-1,0.11329145857717984,PUT,False
5,0,104,-1,0.11158875886871869,PUT,False
6,0,812,-1,0.1100070081899704,PUT,False
7,0,405,-1,0.893861432752694,PUT,False
8,0,405,0,0.0,END,False
9,0,59,-1,0.8635889754423101,PUT,False
10,1,499,-1,0.8569377852661975,PUT,False
11,0,629,-1,0.8624274579106846,PUT,False
12,0,629,0,0.0,END,False
13,1,526,-1,0.883078596085982,PUT,False
14,1,306,-1,0.8502408937118685,PUT,False
15,0,723,-1,0.8823165544773254,PUT,False
16,0,321,-1,0.1136535343018735,PUT,False
17,0,742,-1,0.8601428493353735,PUT,False
18,0,67,-1,0.11026852531885614,PUT,False
19,0,524,-1,0.8996609409094559,PUT,False
20,1,856,-1,0.11087409942522689,PUT,False
21,1,856,1,0.0,END,False
22,0,640,-1,0.11079575872732511,PUT,False
23,1,650,-1,0.866738640821703,PUT,False
24,1,763,-1,0.8554700063208085,PUT,False
25,0,834,-1,0.8601493134534008,PUT,False
26,1,323,-1,0.8475470688097441,PUT,False
27,1,900,-1,0.8392991400576141,PUT,False
28,1,173,-1,0.11306462633394959,PUT,False
29,1,143,-1,0.8639733065429206,PUT,False
30,1,811,-1,0.878433156592878,PUT,False
31,1,305,-1,0.1121244485939875,PUT,False
32,1,251,-1,0.8381716567353938,PUT,False
33,0,814,-1,0.10973110544246298,PUT,False
34,0,782,-1,0.8880226687570841,PUT,False
35,0,763,-1,0.11213908947183689,PUT,False
36,0,954,-1,0.11454921590967433,PUT,False
37,1,325,-1,0.8789231571099981,PUT,False
38,1,611,-1,0.10841217303931276,PUT,False
39,0,216,-1,0.8686669254908659,PUT,False
40,0,471,-1,0.11119473277340654,PUT,False
41,1,615,-1,0.8561657167119607,PUT,False
42,0,933,-1,0.8673218154096988,PUT,False
43,1,191,-1,0.8633626552080874,PUT,False
44,0,565,-1,0.850540918085254,PUT,False
45,0,565,0,0.0,END,False
46,1,460,-1,0.11040491222884832,PUT,False
